age,gender,nb_covid19,nb_excess,deaths
00-04,female,2,-188,2
00-04,male,6,-245,6
05-09,female,6,-41,6
05-09,male,2,-18,2
10-14,female,6,16,16
10-14,male,6,-30,6
15-19,female,16,-29,16
15-19,male,19,25,25
20-24,female,31,8,31
20-24,male,49,-2,49
25-29,female,63,70,70
25-29,male,94,76,94
30-34,female,122,232,232
30-34,male,181,310,310
35-39,female,215,428,428
35-39,male,312,694,694
40-44,female,334,474,474
40-44,male,534,894,894
45-49,female,620,495,620
45-49,male,993,1148,1148
50-54,female,1105,1029,1105
50-54,male,1780,2525,2525
55-59,female,1685,2184,2184
55-59,male,3017,4439,4439
60-64,female,2432,2844,2844
60-64,male,4477,5381,5381
65-69,female,3400,906,3400
65-69,male,5828,2472,5828
70-74,female,5377,6349,6349
70-74,male,8963,9745,9745
75-79,female,7780,7916,7916
75-79,male,11993,12269,12269
80-84,female,11464,7444,11464
80-84,male,15128,12209,15128
85-89,female,14034,6097,14034
85-89,male,14922,11538,14922
90+,female,18838,11930,18838
90+,male,12702,12751,12751
all-ages,female,0,0,0
all-ages,male,0,0,0
