country,year,age,gender,value,pop,fertility_rate
United States of America,2003,15-19,Male,142862,11312,12.629243281471004
United States of America,2003,20-24,Male,615796,10893,56.53135040851923
United States of America,2003,25-29,Male,960144,10206,94.07642563198118
United States of America,2003,30-34,Male,948291,9798,96.78413962033068
United States of America,2003,35-39,Male,616630,10135,60.84163788850518
United States of America,2003,40-44,Male,250629,10909,22.974516454303785
United States of America,2003,45-49,Male,84963,11334,7.496294335627316
United States of America,2003,50-54,Male,24459,10574,2.313126536788349
United States of America,2003,55+,Male,10308,32804,0.3142299719546397
United States of America,2004,15-19,Male,142862,11312,12.629243281471004
United States of America,2004,20-24,Male,615796,10893,56.53135040851923
United States of America,2004,25-29,Male,960144,10206,94.07642563198118
United States of America,2004,30-34,Male,948291,9798,96.78413962033068
United States of America,2004,35-39,Male,616630,10135,60.84163788850518
United States of America,2004,40-44,Male,250629,10909,22.974516454303785
United States of America,2004,45-49,Male,84963,11334,7.496294335627316
United States of America,2004,50-54,Male,24459,10574,2.313126536788349
United States of America,2004,55+,Male,10308,32804,0.3142299719546397
United States of America,2005,15-19,Male,142862,11312,12.629243281471004
United States of America,2005,20-24,Male,615796,10893,56.53135040851923
United States of America,2005,25-29,Male,960144,10206,94.07642563198118
United States of America,2005,30-34,Male,948291,9798,96.78413962033068
United States of America,2005,35-39,Male,616630,10135,60.84163788850518
United States of America,2005,40-44,Male,250629,10909,22.974516454303785
United States of America,2005,45-49,Male,84963,11334,7.496294335627316
United States of America,2005,50-54,Male,24459,10574,2.313126536788349
United States of America,2005,55+,Male,10308,32804,0.3142299719546397
United States of America,2006,15-19,Male,142862,11312,12.629243281471004
United States of America,2006,20-24,Male,615796,10893,56.53135040851923
United States of America,2006,25-29,Male,960144,10206,94.07642563198118
United States of America,2006,30-34,Male,948291,9798,96.78413962033068
United States of America,2006,35-39,Male,616630,10135,60.84163788850518
United States of America,2006,40-44,Male,250629,10909,22.974516454303785
United States of America,2006,45-49,Male,84963,11334,7.496294335627316
United States of America,2006,50-54,Male,24459,10574,2.313126536788349
United States of America,2006,55+,Male,10308,32804,0.3142299719546397
United States of America,2007,15-19,Male,142862,11312,12.629243281471004
United States of America,2007,20-24,Male,615796,10893,56.53135040851923
United States of America,2007,25-29,Male,960144,10206,94.07642563198118
United States of America,2007,30-34,Male,948291,9798,96.78413962033068
United States of America,2007,35-39,Male,616630,10135,60.84163788850518
United States of America,2007,40-44,Male,250629,10909,22.974516454303785
United States of America,2007,45-49,Male,84963,11334,7.496294335627316
United States of America,2007,50-54,Male,24459,10574,2.313126536788349
United States of America,2007,55+,Male,10308,32804,0.3142299719546397
United States of America,2008,15-19,Male,142862,11312,12.629243281471004
United States of America,2008,20-24,Male,615796,10893,56.53135040851923
United States of America,2008,25-29,Male,960144,10206,94.07642563198118
United States of America,2008,30-34,Male,948291,9798,96.78413962033068
United States of America,2008,35-39,Male,616630,10135,60.84163788850518
United States of America,2008,40-44,Male,250629,10909,22.974516454303785
United States of America,2008,45-49,Male,84963,11334,7.496294335627316
United States of America,2008,50-54,Male,24459,10574,2.313126536788349
United States of America,2008,55+,Male,10308,32804,0.3142299719546397
United States of America,2009,15-19,Male,414831,11373,36.475072540226854
United States of America,2009,20-24,Male,1005982,10999,91.46122374761342
United States of America,2009,25-29,Male,1166787,10356,112.66772885283893
United States of America,2009,30-34,Male,955246,9852,96.95960211124645
United States of America,2009,35-39,Male,474103,10043,47.20730857313552
United States of America,2009,40-44,Male,105827,10728,9.864560029828485
United States of America,2009,45-49,Male,7320,11332,0.645958348040946
United States of America,2009,50-54,Male,569,10790,0.05273401297497683
United States of America,2009,55+,Male,0,33874,0
United States of America,2010,15-19,Male,414831,11373,36.475072540226854
United States of America,2010,20-24,Male,1005982,10999,91.46122374761342
United States of America,2010,25-29,Male,1166787,10356,112.66772885283893
United States of America,2010,30-34,Male,955246,9852,96.95960211124645
United States of America,2010,35-39,Male,474103,10043,47.20730857313552
United States of America,2010,40-44,Male,105827,10728,9.864560029828485
United States of America,2010,45-49,Male,7320,11332,0.645958348040946
United States of America,2010,50-54,Male,569,10790,0.05273401297497683
United States of America,2010,55+,Male,0,33874,0
United States of America,2011,15-19,Male,104735,11316,9.255478967833156
United States of America,2011,20-24,Male,526476,11484,45.84430512016719
United States of America,2011,25-29,Male,869863,10875,79.98740229885057
United States of America,2011,30-34,Male,975449,10191,95.71671082327543
United States of America,2011,35-39,Male,590180,9925,59.4639798488665
United States of America,2011,40-44,Male,256966,10276,25.00642273258077
United States of America,2011,45-49,Male,83782,11008,7.611010174418604
United States of America,2011,50-54,Male,26278,11117,2.3637672033822072
United States of America,2011,55+,Male,11341,37175,0.30507061197041024
United States of America,2012,15-19,Male,104735,11316,9.255478967833156
United States of America,2012,20-24,Male,526476,11484,45.84430512016719
United States of America,2012,25-29,Male,869863,10875,79.98740229885057
United States of America,2012,30-34,Male,975449,10191,95.71671082327543
United States of America,2012,35-39,Male,590180,9925,59.4639798488665
United States of America,2012,40-44,Male,256966,10276,25.00642273258077
United States of America,2012,45-49,Male,83782,11008,7.611010174418604
United States of America,2012,50-54,Male,26278,11117,2.3637672033822072
United States of America,2012,55+,Male,11341,37175,0.30507061197041024
United States of America,2013,15-19,Male,93205,11188,8.33080085806221
United States of America,2013,20-24,Male,509846,11654,43.74858417710657
United States of America,2013,25-29,Male,860750,11080,77.68501805054152
United States of America,2013,30-34,Male,990827,10362,95.62121212121212
United States of America,2013,35-39,Male,601402,9949,60.448487285154286
United States of America,2013,40-44,Male,256761,10171,25.24442041097237
United States of America,2013,45-49,Male,84250,10836,7.7750092284976
United States of America,2013,50-54,Male,27339,11143,2.4534685452750606
United States of America,2013,55+,Male,11578,38297,0.30232133065253153
United States of America,2014,15-19,Male,85002,11051,7.691792597954937
United States of America,2014,20-24,Male,497940,11769,42.309457048177414
United States of America,2014,25-29,Male,867330,11284,76.86370081531372
United States of America,2014,30-34,Male,1022910,10550,96.95829383886256
United States of America,2014,35-39,Male,629724,10004,62.94722111155538
United States of America,2014,40-44,Male,261320,10088,25.90404440919905
United States of America,2014,45-49,Male,87146,10663,8.172746881740599
United States of America,2014,50-54,Male,28347,11128,2.5473580158159597
United States of America,2014,55+,Male,12430,39413,0.3153781747139269
United States of America,2015,15-19,Male,78966,10933,7.222720204884295
United States of America,2015,20-24,Male,477664,11809,40.449148954187486
United States of America,2015,25-29,Male,866460,11482,75.46246298554259
United States of America,2015,30-34,Male,1031310,10746,95.9715242881072
United States of America,2015,35-39,Male,648051,10091,64.22069170548014
United States of America,2015,40-44,Male,263377,10028,26.264160351017154
United States of America,2015,45-49,Male,89921,10505,8.55982865302237
United States of America,2015,50-54,Male,29105,11070,2.629177958446251
United States of America,2015,55+,Male,12911,40516,0.31866423141474975
United States of America,2016,15-19,Male,78966,10933,7.222720204884295
United States of America,2016,20-24,Male,477664,11809,40.449148954187486
United States of America,2016,25-29,Male,866460,11482,75.46246298554259
United States of America,2016,30-34,Male,1031310,10746,95.9715242881072
United States of America,2016,35-39,Male,648051,10091,64.22069170548014
United States of America,2016,40-44,Male,263377,10028,26.264160351017154
United States of America,2016,45-49,Male,89921,10505,8.55982865302237
United States of America,2016,50-54,Male,29105,11070,2.629177958446251
United States of America,2016,55+,Male,12911,40516,0.31866423141474975
United States of America,2017,15-19,Male,78966,10933,7.222720204884295
United States of America,2017,20-24,Male,477664,11809,40.449148954187486
United States of America,2017,25-29,Male,866460,11482,75.46246298554259
United States of America,2017,30-34,Male,1031310,10746,95.9715242881072
United States of America,2017,35-39,Male,648051,10091,64.22069170548014
United States of America,2017,40-44,Male,263377,10028,26.264160351017154
United States of America,2017,45-49,Male,89921,10505,8.55982865302237
United States of America,2017,50-54,Male,29105,11070,2.629177958446251
United States of America,2017,55+,Male,12911,40516,0.31866423141474975
United States of America,2018,15-19,Male,78966,10933,7.222720204884295
United States of America,2018,20-24,Male,477664,11809,40.449148954187486
United States of America,2018,25-29,Male,866460,11482,75.46246298554259
United States of America,2018,30-34,Male,1031310,10746,95.9715242881072
United States of America,2018,35-39,Male,648051,10091,64.22069170548014
United States of America,2018,40-44,Male,263377,10028,26.264160351017154
United States of America,2018,45-49,Male,89921,10505,8.55982865302237
United States of America,2018,50-54,Male,29105,11070,2.629177958446251
United States of America,2018,55+,Male,12911,40516,0.31866423141474975
United States of America,2019,15-19,Male,78966,10933,7.222720204884295
United States of America,2019,20-24,Male,477664,11809,40.449148954187486
United States of America,2019,25-29,Male,866460,11482,75.46246298554259
United States of America,2019,30-34,Male,1031310,10746,95.9715242881072
United States of America,2019,35-39,Male,648051,10091,64.22069170548014
United States of America,2019,40-44,Male,263377,10028,26.264160351017154
United States of America,2019,45-49,Male,89921,10505,8.55982865302237
United States of America,2019,50-54,Male,29105,11070,2.629177958446251
United States of America,2019,55+,Male,12911,40516,0.31866423141474975
United States of America,2020,15-19,Male,78966,10933,7.222720204884295
United States of America,2020,20-24,Male,477664,11809,40.449148954187486
United States of America,2020,25-29,Male,866460,11482,75.46246298554259
United States of America,2020,30-34,Male,1031310,10746,95.9715242881072
United States of America,2020,35-39,Male,648051,10091,64.22069170548014
United States of America,2020,40-44,Male,263377,10028,26.264160351017154
United States of America,2020,45-49,Male,89921,10505,8.55982865302237
United States of America,2020,50-54,Male,29105,11070,2.629177958446251
United States of America,2020,55+,Male,12911,40516,0.31866423141474975
